cycle,range_bin,doppler_bin,output_hex
2594515000,9,30,00ab0071
2594525000,9,31,ffa4ff95
2596405000,10,0,001effd9
2596415000,10,1,ffa40003
2596425000,10,2,00beffe8
2596435000,10,3,ff0d005a
2596445000,10,4,015c006a
2596455000,10,5,fe8bff30
2596465000,10,6,fff9ff7c
2596475000,10,7,000e00bb
2596485000,10,8,012eff0f
2596495000,10,9,ff040175
2596505000,10,10,fff00032
2596515000,10,11,ffddfe10
2596525000,10,12,01640142
2596535000,10,13,fef10010
2596545000,10,14,0025ffc6
2596555000,10,15,000c0033
2598435000,10,16,ffe8001c
2598445000,10,17,0069ffda
2598455000,10,18,ff3b005c
2598465000,10,19,0023ff91
2598475000,10,20,ff61004a
2598485000,10,21,0127ff1d
2598495000,10,22,004700d3
2598505000,10,23,fe2a011b
2598515000,10,24,01b2fd3a
2598525000,10,25,ffe30122
2598535000,10,26,ffabff88
2598545000,10,27,00c50027
2598555000,10,28,004900bc
2598565000,10,29,ff75ff4f
2598575000,10,30,006700b5
2598585000,10,31,ffaeff7d
2600465000,11,0,ffdafffb
2600475000,11,1,ffadffa0
2600485000,11,2,005affda
2600495000,11,3,004101a5
2600505000,11,4,ff1ffe05
2600515000,11,5,00c200d1
2600525000,11,6,002f0088
2600535000,11,7,fed1ffb4
2600545000,11,8,006eff83
2600555000,11,9,002700da
2600565000,11,10,ffd6feaa
2600575000,11,11,0119002b
2600585000,11,12,004500dd
2600595000,11,13,ff160059
2600605000,11,14,ff6dfe8c
2600615000,11,15,00b100e0
2602495000,11,16,ffe80011
2602505000,11,17,00640014
2602515000,11,18,ffe80012
2602525000,11,19,001fffc6
2602535000,11,20,ffd10058
2602545000,11,21,00aa0040
2602555000,11,22,fee2ff3d
2602565000,11,23,005f00fb
2602575000,11,24,0056feb3
2602585000,11,25,015a0026
2602595000,11,26,fea601bc
2602605000,11,27,ff81feba
2602615000,11,28,00bd0054
2602625000,11,29,ff80ff9e
2602635000,11,30,006c00f5
2602645000,11,31,ffc1ff2d
2604525000,12,0,ffb9ffad
2604535000,12,1,00460047
2604545000,12,2,001d000c
2604555000,12,3,ff4aff88
2604565000,12,4,016a0056
2604575000,12,5,fe2c006e
2604585000,12,6,0089fec3
2604595000,12,7,ffb300da
2604605000,12,8,01ebff71
2604615000,12,9,fe60ff59
2604625000,12,10,002d02a8
2604635000,12,11,000cfddc
2604645000,12,12,001a0064
2604655000,12,13,000a0086
2604665000,12,14,ffc5ff39
2604675000,12,15,005b00a6
2606555000,12,16,000bffe6
2606565000,12,17,ffe60005
2606575000,12,18,0044007d
2606585000,12,19,ff6eff63
2606595000,12,20,005a0088
2606605000,12,21,ffaffd8c
2606615000,12,22,014102fa
2606625000,12,23,fd60ff7f
2606635000,12,24,0237fdc4
2606645000,12,25,fffa0159
2606655000,12,26,ff68004d
2606665000,12,27,006a006d
2606675000,12,28,ffdcff2a
2606685000,12,29,ffb90076
2606695000,12,30,00630088
2606705000,12,31,ffd8ff89
2608585000,13,0,ffd80002
2608595000,13,1,ff6c0010
2608605000,13,2,00beff6b
2608615000,13,3,00440072
2608625000,13,4,fe910032
2608635000,13,5,028eff23
2608645000,13,6,fdca010b
2608655000,13,7,0011ffdf
2608665000,13,8,008eff5c
2608675000,13,9,00120084
2608685000,13,10,fe960119
2608695000,13,11,0210fe06
2608705000,13,12,ff110158
2608715000,13,13,0014ff91
2608725000,13,14,ffb2ffe1
2608735000,13,15,00a30009
2610615000,13,16,fff0fffe
2610625000,13,17,0041ff91
2610635000,13,18,007900c0
2610645000,13,19,ff58ff3c
2610655000,13,20,ff77015d
2610665000,13,21,0123ff3f
2610675000,13,22,00940008
2610685000,13,23,fda601c1
2610695000,13,24,0156fd80
2610705000,13,25,000f0243
2610715000,13,26,ff07fee2
2610725000,13,27,fff4008a
2610735000,13,28,004f0025
2610745000,13,29,ff61ff61
2610755000,13,30,01100076
2610765000,13,31,ff5a0005
2612645000,14,0,0000ffe3
2612655000,14,1,ff650080
2612665000,14,2,00dfff43
2612675000,14,3,ff63ff88
2612685000,14,4,00e80134
2612695000,14,5,ffd00042
2612705000,14,6,fdc5ff6f
2612715000,14,7,0206009c
2612725000,14,8,ffd8fe9f
2612735000,14,9,ff9f0006
2612745000,14,10,ffe90127
2612755000,14,11,00e1fee2
2612765000,14,12,ffac0166
2612775000,14,13,ffa8fed0
2612785000,14,14,ffff006b
2612795000,14,15,00420002
2614675000,14,16,fff90002
2614685000,14,17,001dff97
2614695000,14,18,001e005a
2614705000,14,19,ff5c0072
2614715000,14,20,002ffffa
2614725000,14,21,000bfe75
2614735000,14,22,00f90102
2614745000,14,23,fec4fff1
2614755000,14,24,0129ffb0
2614765000,14,25,004d0011
2614775000,14,26,fff80098
2614785000,14,27,ff6e003a
2614795000,14,28,00d7ff68
2614805000,14,29,fe930013
2614815000,14,30,01590008
2614825000,14,31,ff6a0003
2616705000,15,0,0003ffc4
2616715000,15,1,ff7affee
2616725000,15,2,00ddffda
2616735000,15,3,ffad00e0
2616745000,15,4,ffe4ff8f
2616755000,15,5,ff3e0013
2616765000,15,6,00cdffeb
2616775000,15,7,ff76feeb
2616785000,15,8,009900f4
2616795000,15,9,00ae0024
2616805000,15,10,fe8500be
2616815000,15,11,00b7fe52
2616825000,15,12,00700001
2616835000,15,13,fffe01ab
2616845000,15,14,ff29fe3d
2616855000,15,15,007a010b
2618735000,15,16,ffe2002a
2618745000,15,17,004effd3
2618755000,15,18,fff00037
2618765000,15,19,000dffdf
2618775000,15,20,ffc9004d
2618785000,15,21,ffe4001f
2618795000,15,22,ff77ff0c
2618805000,15,23,005300b1
2618815000,15,24,0100ff0c
2618825000,15,25,ffb000fd
2618835000,15,26,ffa60069
2618845000,15,27,ff8bffa1
2618855000,15,28,005dff69
2618865000,15,29,004a0065
2618875000,15,30,ffc30098
2618885000,15,31,0011ff0b
2620765000,16,0,ffedffac
2620775000,16,1,fffefff6
2620785000,16,2,0014002c
2620795000,16,3,ffc3ffb7
2620805000,16,4,00b5001f
2620815000,16,5,fe150174
2620825000,16,6,01e5fcd6
2620835000,16,7,ffa10273
2620845000,16,8,000b0034
2620855000,16,9,ff20fe64
2620865000,16,10,ffea017e
2620875000,16,11,017dfeb5
2620885000,16,12,fec700f9
2620895000,16,13,008dffa2
2620905000,16,14,ffc9ff80
2620915000,16,15,003f00b9
2622795000,16,16,fff30010
2622805000,16,17,0010fffe
2622815000,16,18,ffbf0019
2622825000,16,19,00a6ff46
2622835000,16,20,feb50163
2622845000,16,21,00a3fe22
2622855000,16,22,0067016c
2622865000,16,23,fe90ff7e
2622875000,16,24,0219006e
2622885000,16,25,fe20fee4
2622895000,16,26,00250167
2622905000,16,27,ffa2ff2e
2622915000,16,28,0137ffbb
2622925000,16,29,00290030
2622935000,16,30,ff9500e0
2622945000,16,31,0024ff62
2624825000,17,0,0012ffc8
2624835000,17,1,ffd9003b
2624845000,17,2,0091ffe4
2624855000,17,3,ff0a00ca
2624865000,17,4,01bcff46
2624875000,17,5,fd19002b
2624885000,17,6,0160feda
2624895000,17,7,017c009b
2624905000,17,8,fde60072
2624915000,17,9,01630029
2624925000,17,10,ffbdffb0
2624935000,17,11,ffca0004
2624945000,17,12,ffec0034
2624955000,17,13,0053ffa9
2624965000,17,14,ffe2001e
2624975000,17,15,ffd8001f
2626855000,17,16,fff7fff0
2626865000,17,17,00510006
2626875000,17,18,ffc3001c
2626885000,17,19,ff21ff03
2626895000,17,20,01da011d
2626905000,17,21,fe700042
2626915000,17,22,0124fe33
2626925000,17,23,ff7e0111
2626935000,17,24,00c1006e
2626945000,17,25,ffb9ff58
2626955000,17,26,ffefffc8
2626965000,17,27,00970129
2626975000,17,28,003efee1
2626985000,17,29,feda0158
2626995000,17,30,00e2ff0d
2627005000,17,31,ffae001b
2628885000,18,0,ffd6ffe6
2628895000,18,1,002f003c
2628905000,18,2,ff7affce
2628915000,18,3,00ceff08
2628925000,18,4,00580176
2628935000,18,5,feec002f
